iter	Passed	Remaining
0	1093	1092021
1	1776	886354
2	2499	830679
3	3191	794657
4	3873	770735
5	4613	764268
6	5541	786082
7	6256	775841
8	7097	781544
9	8114	803309
10	8911	801228
11	9821	808623
12	10781	818556
13	11868	835887
14	12649	830673
15	13448	827088
16	14336	828968
17	15167	827444
18	16228	837887
19	17195	842560
20	18522	863500
21	19611	871806
22	20787	883008
23	21659	880810
24	22548	879406
25	23376	875721
26	24608	886823
27	25676	891352
28	26497	887202
29	27525	889975
30	28649	895514
31	30377	918929
32	31165	913240
33	31802	903561
34	32624	899516
35	33283	891259
36	34140	888566
37	35143	889690
38	36152	890846
39	36930	886333
40	37642	880474
41	39179	893672
42	40385	898813
43	40998	890791
44	41820	887521
45	42526	881958
46	43530	882640
47	44430	881205
48	45044	874236
49	46022	874430
50	46722	869406
51	47557	867009
52	48549	867477
53	49178	861531
54	49979	858746
55	50818	856650
56	51459	851339
57	52392	850929
58	53271	849642
59	53903	844486
60	54659	841398
61	55245	835816
62	56024	833256
63	56753	830020
64	57537	827655
65	58214	823821
66	58951	820920
67	59853	820344
68	60464	815835
69	61226	813440
70	62058	812005
71	62906	810788
72	63783	809959
73	64477	806839
74	65233	804550
75	65867	800816
76	66647	798908
77	67257	795012
78	67969	792401
79	68623	789172
80	69264	785850
81	69891	782442
82	70737	781519
83	71443	779078
84	72337	778697
85	73089	776793
86	73893	775461
87	74472	771802
88	75132	769053
89	75901	767449
90	76817	767329
91	77700	766867
92	78462	765217
93	79077	762174
94	79974	761857
95	80836	761208
96	81565	759317
97	82358	758037
98	83210	757299
99	84221	757993
100	85015	756720
101	85944	756645
102	86556	753800
103	87212	751370
104	87808	748463
105	88504	746443
106	89081	743457
107	90081	744006
108	90646	740969
109	91457	739970
110	92030	737071
111	92868	736317
112	93524	734127
113	94489	734363
114	95209	732699
115	95931	731063
116	96723	729971
117	97389	727942
118	98248	727365
119	99198	727453
120	99872	725522
121	100517	723393
122	101504	723736
123	102341	722990
124	102905	720340
125	103488	717849
126	104074	715409
127	104910	714705
128	105923	715191
129	106735	714306
130	107506	713156
131	108317	712269
132	108879	709764
133	109551	707995
134	110376	707230
135	111232	706655
136	112080	706022
137	112932	705419
138	113794	704869
139	114422	702882
140	115155	701552
141	115745	699361
142	116795	699953
143	117578	698937
144	118343	697816
145	119255	697560
146	119881	695640
147	120562	694046
148	121279	692675
149	121928	690926
150	122624	689460
151	123271	687727
152	124251	687847
153	124903	686159
154	125549	684448
155	126182	682678
156	126980	681814
157	127788	680997
158	128399	679145
159	129236	678489
160	130090	677924
161	131045	677877
162	131747	676520
163	132624	676063
164	133423	675202
165	134092	673693
166	134942	673098
167	135562	671358
168	136223	669834
169	136799	667901
170	137425	666231
171	138004	664347
172	138656	662824
173	139426	661876
174	140012	660058
175	140899	659663
176	141470	657796
177	142211	656728
178	142837	655135
179	143445	653474
180	144124	652144
181	144702	650364
182	145547	649794
183	146140	648099
184	146735	646430
185	147400	645073
186	148039	643614
187	148824	642796
188	149637	642096
189	150209	640367
190	150832	638864
191	151416	637211
192	152335	636967
193	152922	635339
194	153823	635015
195	154712	634636
196	155356	633256
197	156200	632689
198	157051	632152
199	157862	631450
200	158495	630041
201	159318	629385
202	160016	628243
203	160593	626629
204	161676	626988
205	162371	625840
206	163064	624686
207	163772	623597
208	164338	621970
209	165053	620915
210	165699	619605
211	166418	618576
212	167269	618034
213	168011	617088
214	168722	616032
215	169327	614596
216	169956	613254
217	170818	612752
218	171434	611371
219	172479	611518
